,Date,product,Price,Cost,profit,category,QTY
0,5/17/22,Hills & Clouds Collar Polo T-Shirt For Men (Red) XXL,849,679.2,169.8,shirt,1
1,5/17/22,Hills & Clouds Collar Polo T-Shirt For Men (Red) L,849,679.2,169.8,shirt,1
2,5/16/22,Hills & Clouds Classic Light Weight Joggers (Olive Green) XL,1300,1040,260,shirt,1
3,5/16/22,Hills And Clouds Signature Polo T-Shirt(Black) For Men XXL,949,759.2,189.8,shirt,1
4,5/16/22,Hills & Clouds Collar Polo T-Shirt For Men (Space Grey) L,849,679.2,169.8,shirt,1
5,5/16/22,Hills & Clouds V Neck T-Shirt For Women (Turquoise) L,549,439.2,109.8,shirt,1
6,5/16/22,Hills & Clouds Collar Polo T-Shirt For Men (Red) L,849,679.2,169.8,shirt,1
7,5/15/22,Hills & Clouds Signature Sports T-shirt (Green with White Stripe) For Men M,849,679.2,169.8,shirt,1
8,5/15/22,Hills & Clouds Echo Series T-Shirt (Sanity) (Red) For Men M,549,439.2,109.8,shirt,1
9,5/15/22,Hills & Clouds Graphic Series T-Shirt (Guitar) (Black) For Men M,749,599.2,149.8,shirt,1
10,5/15/22,Hills & Clouds Graphic Series T-Shirt (I Am Satisfied) (Navy Blue) For Men - M,749,599.2,149.8,shirt,1
11,5/15/22,Hills & Clouds Signature Sports T-shirt (White with Blue Stripe) For Men L,849,679.2,169.8,shirt,1
12,5/15/22,Hills & Clouds Echo Series T-Shirt (Enough Is Enough) (White) For Men L,649,519.2,129.8,shirt,1
13,5/15/22,Hills & Clouds Signature Sports T-shirt (White with Blue Stripe) For Men XL,849,679.2,169.8,shirt,1
14,5/15/22,Hills & Clouds Echo Series T-Shirt (Life Is Beautiful) (White) For Men - XL,749,599.2,149.8,shirt,1
15,5/15/22,Hills & Clouds Collar Polo T-Shirt For Men (Space Grey) XXL,849,679.2,169.8,shirt,1
16,5/15/22,Hills & Clouds Signature Joggers (Black) XL,1699,1359.2,339.8,shirt,1
17,5/15/22,Hills & Clouds Collar Polo T-Shirt For Men (Red) L,849,679.2,169.8,shirt,1
18,5/15/22,Hills And Clouds Graphic T-Shirt For Men (Divine Eye) (Red) L,749,599.2,149.8,shirt,1
19,5/15/22,Hills & Clouds Signature Sports T-shirt (White with Blue Stripe) For Men XL,849,679.2,169.8,shirt,1
20,5/14/22,Hills & Clouds V Neck T-Shirt For Women (Black) M,549,439.2,109.8,shirt,1
